Año,Variable,Valor_PCA,Valor_missForest,Valor_missForest_Año,Valor_observado_2003
2000,Gas natural,-675.9784882115464,1195.4675992321888,1032.8692594070303,537.3374229656744
2001,Gas natural,220.86915965737103,1336.391077822853,1137.456683719952,537.3374229656744
2002,Gas natural,570.1872821719307,1482.9301656179969,1244.530649063539,537.3374229656744
