Combustible,Media original 2000–2007,z 2000–2007,Media original 2008–2022,z 2008–2022
Petróleo crudo,6272.5,1.14,3544.6,-0.61
Otros primarias,27,-1.13,34.7,0.6
Gas natural,433.6,-1.09,2333.6,0.58
Gas licuado de petróleo,1646.2,-0.96,2395.6,0.51
Coque,706.1,-0.92,1340.4,0.49
Asfaltos,44.7,-0.81,104.1,0.43
Avtur,543.5,-0.76,843.3,0.41
Carbón mineral,1720.4,-0.72,3673.2,0.38
Otros no energético,42.3,-0.66,61,0.35
Cluster,1,,2,
