Año,Variable,Valor_original
2005,Kerosene,-0.3431360652150495
2007,Kerosene,-0.04861179912483842
2008,Kerosene,-0.3255474490367969
2010,Kerosene,-0.8261844973686068
2015,Kerosene,-0.9125439279138625
2019,Kerosene,-0.46423519187710277
