Variable,Bloque,Método,Año,Observado,Predicho,Error,Error_absoluto,Error_cuadrado,Prediccion_negativa
Bagazo de caña,2008–2011,Lineal_original,2008,879.5053613612372,920.2248141345394,40.71945277330224,40.71945277330224,1658.0738341571912,FALSE
Bagazo de caña,2008–2011,Lineal_original,2009,874.7583496593921,919.4932239016478,44.734874242255614,44.734874242255614,2001.2089734704248,FALSE
Bagazo de caña,2008–2011,Lineal_original,2010,886.8591210980034,918.7616336687558,31.902512570752492,31.902512570752492,1017.7703083270208,FALSE
Bagazo de caña,2008–2011,Lineal_original,2011,842.5662912460658,918.0300434358642,75.46375218979836,75.46375218979836,5694.777894563296,FALSE
Bagazo de caña,2008–2011,Lineal_log,2008,879.5053613612372,918.7544441671339,39.249082805896705,39.249082805896705,1540.4905011041365,FALSE
Bagazo de caña,2008–2011,Lineal_log,2009,874.7583496593921,917.9504020378499,43.19205237845779,43.19205237845779,1865.5533886634412,FALSE
Bagazo de caña,2008–2011,Lineal_log,2010,886.8591210980034,917.1470627958954,30.28794169789205,30.28794169789205,917.3594122949081,FALSE
Bagazo de caña,2008–2011,Lineal_log,2011,842.5662912460658,916.3444258268123,73.7781345807465,73.7781345807465,5443.213142214742,FALSE
Bagazo de caña,2008–2011,Media_ultimos_3,2008,879.5053613612372,896.299787840384,16.794426479146864,16.794426479146864,282.05276076346934,FALSE
Bagazo de caña,2008–2011,Media_ultimos_3,2009,874.7583496593921,896.299787840384,21.541438180991918,21.541438180991918,464.03355890549636,FALSE
Bagazo de caña,2008–2011,Media_ultimos_3,2010,886.8591210980034,896.299787840384,9.4406667423807,9.4406667423807,89.12618854069301,FALSE
Bagazo de caña,2008–2011,Media_ultimos_3,2011,842.5662912460658,896.299787840384,53.73349659431824,53.73349659431824,2887.28865625161,FALSE
Bagazo de caña,2008–2011,missForest_con_Año,2008,879.5053613612372,924.9981928242382,45.49283146300104,45.49283146300104,2069.597714521017,FALSE
Bagazo de caña,2008–2011,missForest_con_Año,2009,874.7583496593921,924.9981928242382,50.23984316484609,50.23984316484609,2524.0418412283325,FALSE
Bagazo de caña,2008–2011,missForest_con_Año,2010,886.8591210980034,924.9981928242382,38.139071726234874,38.139071726234874,1454.5887921388885,FALSE
Bagazo de caña,2008–2011,missForest_con_Año,2011,842.5662912460658,924.9981928242382,82.43190157817241,82.43190157817241,6795.018397793504,FALSE
Bagazo de caña,2009–2012,Lineal_original,2009,874.7583496593921,901.395689335729,26.637339676336865,26.637339676336865,709.5478650325501,FALSE
Bagazo de caña,2009–2012,Lineal_original,2010,886.8591210980034,897.9494689179492,11.090347819945805,11.090347819945805,122.99581476737667,FALSE
Bagazo de caña,2009–2012,Lineal_original,2011,842.5662912460658,894.5032485001693,51.936957254103504,51.936957254103504,2697.4475288145745,FALSE
Bagazo de caña,2009–2012,Lineal_original,2012,927.6029601359252,891.0570280823895,-36.545932053535694,36.545932053535694,1335.6051496616476,FALSE
Bagazo de caña,2009–2012,Lineal_log,2009,874.7583496593921,900.310318608069,25.55196894867686,25.55196894867686,652.9031171541463,FALSE
Bagazo de caña,2009–2012,Lineal_log,2010,886.8591210980034,896.9080411433042,10.04892004530086,10.04892004530086,100.98079407684945,FALSE
Bagazo de caña,2009–2012,Lineal_log,2011,842.5662912460658,893.5186066380703,50.95231539200449,50.95231539200449,2596.138443806298,FALSE
